날짜,시간,광역,지역,종류,코드,내용,긴급도
2024-08-06,14:02:35,경기도,부천시청,폭염,7,"현재 부천시 폭염특보 발효 중으로 야외활동 자제, 충분한 물 마시기, 온열질환 예방 등 건강관리에 유의하시기 바랍니다.[부천시청]",2
2025-02-04,6:40:21,전라남도,장성군,대설,13,장성군 대설경보 발효 중. △미끄럼 사고 주의 △비닐하우스 등 시설물 점검 △외출 자제 및 낙상사고 주의 △차량 감속 운행 등 안전에 유의하세요. [장성군],2
2023-12-25,8:26:44,충청남도,논산시,한파,15,"새벽부터 눈이 내리고 있습니다! ▲골목길, 그늘진 곳, 고갯길, 교량 등 위험구간 서행운전 ▲내집, 내점포앞 눈치우기 등 안전에 유의 바랍니다.[논산시]",2
2024-06-25,10:17:47,충청남도,충남경찰청,실종,18,"당진시 주민인 김재원씨(남,25세)를 찾습니다-165cm,78kg,회색반팔티(아하방수택작업복),검정체육복바지
vo.la/DGHFv / ☎182 [충남경찰청]",1
2024-08-10,15:17:26,부산광역시,서구,물놀이,21,물놀이 안전사고 예방을 위해 안전수칙 준수바랍니다. ▲물놀이위험구역 접근금지▲충분한 준비운동▲구명조끼 착용▲음주수영·야간입수 금지▲어린이는 보호자와 동행 [서구],1
2025-03-04,6:22:08,경상남도,창녕군,대설,13,"강우, 강설 및 기온 강하로 인해 도로 결빙이 우려되니 출근길 차량 운전 시 서행 및 거리 유지, 보행자 낙상사고 주의 등 안전에 유의 바랍니다.[창녕군]",2
2024-07-15,9:27:12,전북특별자치도,진안군,하천,23,"오늘 12:00~18:00 용담댐의 수문방류하여 하천 수위가 높아질 것으로 예상되니, 인명과 시설물의 피해가 발생하지 않도록 대비하여 주시기 바랍니다. [진안군]",2
2024-01-07,19:26:48,서울특별시,서울경찰청,실종,18,"동작구에서 배회중인 김종희씨(남,81세)를 찾습니다-175cm,70kg,남색외투,체크무늬베레모,안경,흰색목도리 
vo.la/sHrxv / ☎112 [서울경찰청]",1
2023-09-05,7:24:55,경상남도,,교통,20,[진주시] 싱크홀 복구작업으로 구.한일병원에서 공단사거리 사이 구간 초전동 방면 2개 차로 교통통제 중입니다. 출근길교통혼잡이 예상되오니 우회도로 이용 바랍니다.,2
2024-06-29,15:19:26,경상북도,문경시,호우,6,"오늘 오후부터 많은 비가 내릴것으로 전망됨에 따라, 산림주변 활동과 산사태 위험지역의 접근을 자제하시기 바랍니다.
[문경시]",2
2024-08-21,16:12:58,전라남도,광양시,교통,20,내일(8/22) 14시부터 20분간 민방위 훈련 실시. 전 국민 대피 및 일부 구간 차량통제. 전투기 운용으로 인한 소음주의 바랍니다.[광양시],1
2024-08-17,9:32:02,경상북도,포항시,물놀이,21,"물놀이 사고 예방 알림 △물놀이 시 구명조끼 착용 필수 △어린이는 보호자와 함께 △음주 수영, 다이빙 금지 등 수상안전수칙 준수 바랍니다. [포항시]",1
2023-09-20,17:19:36,부산광역시,,호우,6,"[금정구]부산지역 호우주의보 발효에 따라 산사태 우려지, 급경사지, 저지대 등 위험징후 발견 시 사전대피 및 온천천,수영강 산책로 출입을 금지하여 주시기 바랍니다",3
2024-08-09,17:01:05,충청북도,청주시,물놀이,21,전국적으로 물놀이 사고가 연이어 발생하고 있습니다. ▲구명조끼 반드시 착용▲음주 후 수영금지▲어린이는 보호자와 동행▲충분한 준비운동 [청주시],1
2024-02-05,18:29:12,경기도,행정안전부,대설,13,"오늘 18시20분 대설주의보 발령. 내 집 앞 눈 치우기에 동참해 주세요. 차량 운행은 자제하시고, 출퇴근 시에는 대중교통을 이용해 주세요.[행정안전부]",3
2024-08-06,10:56:38,충청남도,천안시,물놀이,21,물놀이 사고 예방을 위해▲충분한 준비운동▲구명조끼 착용▲야간·음주 후 수영금지▲어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수 바랍니다.[천안시],1
2025-04-12,10:17:39,경상남도,의령군,산불,3,"산불재난 국가위기경보 심각단계, 강풍예비특보 발표, 대형산불 발생 위험 증가 ▲등산로 및 숲길 입산금지 ▲쓰레기, 영농부산물 소각행위 금지 [의령군]",1
2025-04-04,17:07:23,강원특별자치도,태백시,산불,3,청명·한식 산불발생 위험이 높은 시기입니다. ▲성묘자제·화기휴대 금지 ▲무단입산·소각행위 금지 ▲산불 방화 시 15년 이하의 징역에 처해질 수 있습니다.[태백시],1
2024-07-10,3:25:49,대전광역시,금강홍수통제소,홍수,5,"오늘 03:30 유등천 금산군(문암교)지점 홍수경보. 피해에 대비 바랍니다. 내 위치, 침수우려지역 확인 vo.la/wRnTi [금강홍수통제소]",3
2025-02-19,11:41:02,경상북도,안동시,건조,2,"건조한 날씨와 강한 바람으로 산불발생 위험이 높습니다. 쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다. [안동시]",1
2024-09-20,18:06:24,강원특별자치도,행정안전부,풍랑,9,"오늘 20:00 동해중부앞바다(강원북부앞바다,강원중부앞바다) 풍랑경보. 방파제에 가지 마시고, 해안가의 낚시꾼, 야영객은 안전한 곳으로 대피하세요. [행정안전부]",3
2024-07-30,10:00:46,충청남도,홍성군,폭염,7,"폭염 지속 중으로 외출 시 양산과 물병 휴대, 논밭 등 야외 활동 자제, 실외작업장 안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다. [홍성군]",2
2024-08-25,12:51:50,경상남도,하동군,물놀이,21,물놀이 사고 예방을 위해▲충분한 준비운동▲구명조끼 착용▲야간·음주 후 수영금지▲어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수 바랍니다.[하동군],1
2024-04-01,14:38:45,강원특별자치도,강원특별자치도,건조,2,동해안지역 대기가 건조하여 산불발생 위험이 높아지고 있습니다. 산불예방을 위해 영농부산물 및 쓰레기 불법 소각행위 금지 등 주의하시기 바랍니다. [강원특별자치도],1
2024-01-23,6:53:29,전라남도,해남군,대설,13,강설로 인해 농어촌버스 일부구간만 운행 중입니다. 날씨 및 도로 상태 호전 시 운행 재개 예정이오니 참고하시기 바랍니다.(해남교통 533-8826) [해남군],2
2024-09-01,13:52:37,경기도,여주시,폭염,7,"폭염이 연일 지속되어 온열질환 발생 위험이 높으니 야외활동 및 야외작업(논,밭,건설현장 등)을 자제하시고 그늘,휴식,수분섭취 등 건강관리에 유의바랍니다.[여주시]",2
2024-08-30,10:00:17,제주특별자치도,제주도,물놀이,21,최근 물놀이로 인한 사고가 급증하고 있습니다. 물놀이 시 안전관리요원이 배치된 장소에서 구명조끼를 착용하는 등 안전수칙을 준수하여 주시기 바랍니다.[제주도],1
2023-12-30,9:48:15,경기도,가평군,대설,13,"금일 많은 강설로 인해 미끄럼 사고 우려가 있으니, 보행 및 운전 시 안전사고에 유의하시고 내 집, 내 점포 앞 눈 치우기에 동참해 주시기 바랍니다.[가평군]",2
2024-07-17,4:12:57,경기도,행정안전부,호우,6,"오늘 04:10 호우경보. 하천 주변, 계곡, 급경사지, 농수로 등 위험 지역에는 가지 마시고, 대피 권고를 받으면 즉시 대피하세요. [행정안전부]",3
2025-01-06,8:14:48,경상북도,상주시,한파,15,금일 많은 눈이 내려 쌓인 곳이 있으니 ▲안전확보 후 내 집 및 건물 앞 눈치우기▲외출 자제▲차량감속운행▲결빙주의 등 안전에 유의하시기 바랍니다. [상주시],2
2025-04-01,15:28:22,경상북도,문경시,건조,2,"건조한 날씨와 강한 바람으로 산불발생 위험이 매우 높습니다. 쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다. [문경시]",1
2024-05-10,9:31:02,경기도,경기북부경찰청,실종,18,"남양주시에서 목격된 임종철씨(남,82세)를 찾습니다 -175cm,79kg,빨간티셔츠,갈색자켓,회색트레이닝복
vo.la/ZymUh / ☎182 [경기북부경찰청]",1
2024-07-09,6:41:36,대구광역시,달성군청,산사태,4,구지면 산사태 경보 발효중. 구지면 내 산림 주변 위험지역 접근금지 및 산사태 피해가 우려되므로 마을회관 등 안전한 장소로 대피 하시기 바랍니다.[달성군청],3
2024-01-23,6:36:36,전라남도,영암군,한파,15,우리 지역 밤사이 내린 눈과 기온 저하로 인해 미끄러운 곳이 많겠습니다. ▲수도계량기 동파 피해 ▲결빙지역 안전운전 ▲농축산물 피해 등 주의 바랍니다.[영암군],2
2024-06-01,21:12:16,서울특별시,서울시,북한,22,북한이 대남 오물풍선을 다시 부양하고 있음. 시민들께서는 적재물 낙하에 주의하시고 풍선을 발견하시면 접촉하지 마시고 군부대나 경찰에 신고해 주시기 바람.[서울시],3
2024-07-18,11:41:41,충청남도,천안시,산사태,4,토양함수지수 및 산사태위험등급 높아 산사태주의보발령. 산림인접지 주민께서는 유사시 신속한 대피할 수 있도록 재난문자 등에 관심을 기울여주시기 바랍니다.[천안시],3
2024-08-16,12:58:02,경상북도,포항시,폭염,7,"일 최고 체감온도 33℃ 이상 지속 중. △논, 밭, 건설현장 등 야외활동자제 △폭염 안전수칙(물, 그늘, 휴식) 준수 등 건강관리에 유의바랍니다. [포항시]",2
2024-09-20,7:01:48,전라남도,나주시,호우,6,"호우주의보 발효 중 ▲시간당 20㎜↑ 많은 비 ▲급경사지, 하천변, 저지대 등 위험지역 접근금지 ▲외출을 자제하고 출근길 안전에 유의하시기 바랍니다. [나주시]",2
2024-08-25,10:02:14,전라남도,광양시,물놀이,21,안전하고 즐거운 물놀이를 위한 안전수칙 준수 바랍니다. ▲구명조끼 반드시 착용▲충분한 준비운동▲야간 및 음주 후 수영금지▲어린이는 반드시 보호자 동반[광양시],1
2023-12-12,16:50:40,부산광역시,부산경찰청,실종,18,"경찰은 남구에서 실종된 유동우(남,9세)를 찾습니다 -130cm,50kg,초록점퍼,검정바지,노란장화
vo.la/fwacs / ☎182 [부산경찰청]",1
2024-11-27,10:21:58,충청남도,천안시,대설,13,"대설 및 강풍으로 인한 비닐하우스, 간판 등 시설물 관리 및 안전사고에 유의하세요 [천안시]",2
2024-08-25,13:59:54,경상남도,창원시,폭염,7,폭염경보 발효 중. 물 자주 마시고 휴식하며 야외활동 자제 당부. 기온 등 기상상황 수시로 확인하여 주시기 바랍니다. [창원시],2
2024-08-18,14:01:08,충청남도,서천군,물놀이,21,여름철 물놀이 증가로 물놀이 안전사고가 발생하고 있습니다 ▲물놀이위험구역 접근금지▲충분한 준비운동▲구명조끼 착용▲음주 후 수영금지▲어린이는 보호자와 동행[서천군],1
2025-04-17,10:04:53,경상남도,남해군,산불,3,산불 위기경보 경계단계 발령 중입니다. ▲산림 주변 소각행위 금지▲입산통제구역 출입금지▲용접작업시 불꽃 주의등 산불 예방에 협조 바랍니다.[남해군],1
2024-07-07,8:05:29,충청남도,아산시,호우,6,"많은 비가 내리고 있습니다. 하천변 산책로와 주차장, 농수로, 산사태 위험지역, 침수위험 저지대와 반지하 건축물에 접근 금지 바랍니다.[아산시]",2
2025-02-24,14:44:45,경상북도,김천시,건조,2,"건조주의보 및 강풍으로 산불발생 위험이 매우 높습니다. 영농부산물 소각 금지, 화목보일러 재처리 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다. [김천시]",2
2023-12-03,18:43:33,경기도,,실종,18,"[경기남부경찰청] 수원시에서 실종된 배선희씨(남,71세)를 찾습니다 -172cm,60kg,회색패딩,슬리퍼,파란색우산
vo.la/zABLO / ☎182",1
2024-07-14,12:06:26,충청북도,청주시,하천,23,"7.15.(월)18시까지 예정,대청댐 초당 1,800톤 수문방류로 하천수위 상승,하천 접근 및 하천변 야외활동 금지 등 하천 밖으로 대피요망[청주시]",2
2024-08-07,14:23:48,경상남도,의령군,폭염,7,"폭염경보 발효 중(체감온도35도 이상) 야외작업 자제하여 주시기 바라며, 충분한 물 섭취, 그늘에서 휴식, 양산 착용 등 건강 관리에 유의하세요. [의령군]",2
2025-02-07,7:04:22,경상북도,구미시,한파,15,낮은 기온 및 새벽에 내린 눈으로 도로결빙 우려▲낙상사고 주의▲빙판길 미끄럼 위험▲출근 길 감속운행 및 안전거리 유지 등 안전에 유의하시기 바랍니다.[구미시],2
2023-09-23,20:19:40,서울특별시,,실종,18,"[서울경찰청] 강동구에서 배회중인 박영수씨(남,89세)를 찾습니다-175cm,70kg,하늘색점퍼,검정운동화,마스크,구부정한허리
vo.la/ak9kC / ☎182",1
2024-06-29,12:13:53,부산광역시,금정구,호우,6,"금일 10시 부산지역 호우예비특보 발표에 따라 온천천 산책로 및 수영강 하천변산책로를 전면 통제하오니, 출입을 자제하여 주시고 안전사고에 유의바랍니다.[금정구]",2
2025-02-04,17:10:27,충청남도,계룡시,한파,15,기온이 급감하여 매우 춥겠으니 ▲야외활동 자제 ▲미끄럼 주의 ▲수도계량기 동파방지 ▲농·축산물 보온 ▲온열기 화재예방 등 안전에 유의하시기 바랍니다. [계룡시],2
2024-08-22,13:52:46,전라남도,무안군,교통,20,2024을지연습 연계 차량 이동통제 훈련을 8/22(목) 14시부터 5분간 무안버스터미널~무안군선거관리위원회 구간에서 실시하오니 우회하여 통행바랍니다.[무안군],2
2024-08-17,17:01:40,충청남도,아산시,화재,19,"오늘 환경과학공원 인근 수장리 공장에서 화재 발생. 인근 주민들은 자택에서 창문을 닫고, 화재 발생 장소 주변으로 접근하지 마시기 바랍니다. [아산시]",2
2024-08-15,14:00:56,경상북도,청송군,하천,23,"하천, 계곡에서 물놀이 및 다슬기 채취시▲충분한준비운동▲구명조끼착용▲음주수영및다이빙금지▲야간수상활동금지▲어린이는보호자와동행 등 수상안전수칙 준수바랍니다.[청송군]",1
